Principio attivo;Confezione di riferimento;ATC;AIC;Farmaco;Confezione;Ditta;Prezzo riferimento SSN;Prezzo Pubblico 15 Ottobre 2020;Differenza;Nota;Codice gruppo equivalenza
Aceclofenac;40 UNITA' 100 MG - USO ORALE;M01AB16;43259035;ACECLOFENAC EG;"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE IN BLISTER AL/AL";EG S.P.A.;5,64 €;5,64 €;0,00 €;;B5B
Aceclofenac;40 UNITA' 100 MG - USO ORALE;M01AB16;32773020;AIRTAL;"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE";ALMIRALL S.A.;5,64 €;10,26 €;4,62 €;;B5B
Aceclofenac;40 UNITA' 100 MG - USO ORALE;M01AB16;31220015;GLADIO;"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE";ABIOGEN PHARMA S.P.A.;5,64 €;10,57 €;4,93 €;;B5B
Aceclofenac;40 UNITA' 100 MG - USO ORALE;M01AB16;31842014;KAFENAC;"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE";ALMIRALL S.A.;5,64 €;10,26 €;4,62 €;;B5B
Aciclovir;100 ML 8% - USO ORALE;J05AB01;28614129;ACICLIN;8% SOSPENSIONE ORALE 1 FLACONE 100 ML;FIDIA FARMACEUTICI S.P.A.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;28467049;ACICLOVIR;1 FLACONE SCIROPPO 100 ML 8%;TEVA ITALIA S.R.L.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;32307035;ACICLOVIR;"""8% SOSPENSIONE ORALE"" 1 FLACONE 100 ML";EG S.P.A.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;33551060;ACICLOVIR;"""400 MG/5 ML SOSPENSIONE ORALE"" 1 FLACONE 100 ML";DOC GENERICI S.R.L.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;33731035;ACICLOVIR;"""8% SOSPENSIONE ORALE"" FLACONE 100 ML";SANDOZ S.P.A.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;33482023;ACICLOVIR ABC;"""8% SOSPENSIONE ORALE"" FLACONE DA 100 ML";ABC FARMACEUTICI S.P.A.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;31846025;ACICLOVIR ACCORD;"""400 MG/5 ML SOSPENSIONE ORALE"" 1 FLACONE 100 ML";ACCORD HEALTHCARE SLU;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;33868023;ACICLOVIR ALMUS;"""8% SOSPENSIONE ORALE"" FLACONE DA 100 ML";ALMUS S.R.L.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;36035032;ACICLOVIR AUROBINDO;"""400 MG/5 ML SOSPENSIONE ORALE"" FLACONE 100 ML";AUROBINDO PHARMA ITALIA S.R.L.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;33429022;ACICLOVIR GERMED;"""8% SOSPENSIONE ORALE"" FLACONE DA 100 ML SOSPENSIONE ORALE";GERMED PHARMA S.R.L.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;34738056;ACICLOVIR MYLAN GENERICS;"""400 MG/5 ML SOSPENSIONE PER USO ORALE"" 1 FLACONE 100 ML";MYLAN S.P.A.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;28338059;ESAVIR;"""8% SOSPENSIONE ORALE"" 1 FLACONE 100 ML";KONPHARMA S.R.L.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;28425039;NEVIRAN;1 FLACONE SOSPENSIONE OS 8% 100 ML;S.F. GROUP S.R.L.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;25298086;ZOVIRAX;"""400 MG/5 ML SOSPENSIONE ORALE"" 1 FLACONE 100 ML";GLAXOSMITHKLINE S.P.A.;13,90 €;21,23 €;7,33 €;;26A
Aciclovir;25 UNITA' 200 MG - USO ORALE;J05AB01;32307011;ACICLOVIR;"""200 MG COMPRESSE"" BLISTER 25 COMPRESSE";EG S.P.A.;11,29 €;11,29 €;0,00 €;;26B
Aciclovir;25 UNITA' 200 MG - USO ORALE;J05AB01;46032013;ACICLOVIR AUROBINDO PHARMA;"""200 MG COMPRESSE"" 25 COMPRESSE IN BLISTER PVC/AL";AUROBINDO PHARMA ITALIA S.R.L.;11,29 €;11,29 €;0,00 €;;26B
Aciclovir;25 UNITA' 200 MG - USO ORALE;J05AB01;25298050;ZOVIRAX;"""200 MG COMPRESSE"" 25 COMPRESSE";GLAXOSMITHKLINE S.P.A.;11,29 €;18,08 €;6,79 €;;26B
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;28614055;ACICLIN;"""400 MG COMPRESSE"" 25 COMPRESSE";FIDIA FARMACEUTICI S.P.A.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;28467037;ACICLOVIR;25 COMPRESSE 400 MG;TEVA ITALIA S.R.L.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;32307023;ACICLOVIR;"""400 MG COMPRESSE"" BLISTER 25 COMPRESSE";EG S.P.A.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;33551021;ACICLOVIR;25 COMPRESSE 400 MG;DOC GENERICI S.R.L.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;33731011;ACICLOVIR;"""400 MG COMPRESSE"" 25 COMPRESSE";SANDOZ S.P.A.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;46032049;ACICLOVIR AUROBINDO PHARMA;"""400 MG COMPRESSE"" 25 COMPRESSE IN BLISTER PVC/AL";AUROBINDO PHARMA ITALIA S.R.L.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;34738031;ACICLOVIR MYLAN GENERICS;"""400 MG COMPRESSE"" 25 COMPRESSE";MYLAN S.P.A.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;32927030;ACICLOVIR SUN;25 COMPRESSE 400 MG;SUN PHARMACEUTICAL IND. B.V.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;28920039;CIVRAL;"""400 MG COMPRESSE"" 25 COMPRESSE";PHARMABER S.R.L.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;25299076;CYCLOVIRAN;"""400 MG COMPRESSE"" 25 COMPRESSE";ALFASIGMA S.P.A.;9,01 €;11,01 €;2,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;37290018;SINAFID;"""400 MG COMPRESSE"" 25 COMPRESSE";FIDIA FARMACEUTICI S.P.A.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;25298074;ZOVIRAX;"""400 MG COMPRESSE"" 25 COMPRESSE";GLAXOSMITHKLINE S.P.A.;9,01 €;15,18 €;6,17 €;;26C
Aciclovir;25 UNITA' 800 MG - USO ORALE;J05AB01;28425066;NEVIRAN;"""800 MG COMPRESSE"" 25 COMPRESSE";S.F. GROUP S.R.L.;36,41 €;36,41 €;0,00 €;;26D
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;28614081;ACICLIN;"""800 MG COMPRESSE"" 35 COMPRESSE";FIDIA FARMACEUTICI S.P.A.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;28467064;ACICLOVIR;"""800 MG"" BLISTER 35 COMPRESSE 800 MG USO ORALE";TEVA ITALIA S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;32307086;ACICLOVIR;"""800 MG COMPRESSE"" 35 COMPRESSE";EG S.P.A.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33551072;ACICLOVIR;"""800 MG COMPRESSE"" 35 COMPRESSE";DOC GENERICI S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33731050;ACICLOVIR;"""800 MG COMPRESSE"" 35 COMPRESSE";SANDOZ S.P.A.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33482047;ACICLOVIR ABC;"""800 MG COMPRESSE"" 35 COMPRESSE";ABC FARMACEUTICI S.P.A.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;31846049;ACICLOVIR ACCORD;"""800 MG COMPRESSE"" 35 COMPRESSE";ACCORD HEALTHCARE SLU;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33868011;ACICLOVIR ALMUS;"""800 MG COMPRESSE"" TUBO 35 COMPRESSE USO ORALE";ALMUS S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;36110017;ACICLOVIR ALTER;"""800 MG COMPRESSE"" 35 COMPRESSE";LABORATORI ALTER S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;36035018;ACICLOVIR AUROBINDO;"""800 MG COMPRESSE"" 35 COMPRESSE";AUROBINDO PHARMA ITALIA S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;35853011;ACICLOVIR AUROBINDO ITALIA;"""800 MG COMPRESSE"" 35 COMPRESSE";AUROBINDO PHARMA ITALIA S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;46032052;ACICLOVIR AUROBINDO PHARMA;"""800 MG COMPRESSE"" 35 COMPRESSE IN BLISTER PVC/AL";AUROBINDO PHARMA ITALIA S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33429046;ACICLOVIR GERMED;"""800 MG COMPRESSE"" 35 COMPRESSE";GERMED PHARMA S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;34738043;ACICLOVIR MYLAN GENERICS;"""800 MG COMPRESSE"" 35 COMPRESSE";MYLAN S.P.A.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;34583031;ACICLOVIR PENSA;"""800 MG COMPRESSE"" 35 COMPRESSE";PENSA PHARMA S.P.A.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;32927055;ACICLOVIR SUN;35 COMPRESSE 800 MG;SUN PHARMACEUTICAL IND. B.V.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33471018;AMODIVYR;"""800 MG COMPRESSE"" 35 COMPRESSE";DYMALIFE PHARMACEUTICAL S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;28528077;CITIVIR;"""800 MG COMPRESSE"" 35 COMPRESSE";LABORATORIO FARMACEUTICO C.T. S.R.L.;25,04 €;31,59 €;6,55 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;25299126;CYCLOVIRAN;"""800 MG COMPRESSE"" 35 COMPRESSE";ALFASIGMA S.P.A.;25,04 €;29,04 €;4,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;28338046;ESAVIR;"""800 MG COMPRESSE"" 35 COMPRESSE";KONPHARMA S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;28425078;NEVIRAN;"""800 MG COMPRESSE"" 35 COMPRESSE";S.F. GROUP S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;35005014;TUCLOR;"""800 MG COMPRESSE"" 35 COMPRESSE";LANOVA FARMACEUTICI S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;25298124;ZOVIRAX;35 COMPRESSE 800 MG;GLAXOSMITHKLINE S.P.A.;25,04 €;52,01 €;26,97 €;;26E
Aciclovir;4,5 GRAMMI 3% - USO OFTALMICO UNGUENTO;S01AD03;28231025;ACY;"""30 MG/G UNGUENTO OFTALMICO"" TUBO 4,5 G";FARMIGEA S.P.A.;5,53 €;5,53 €;0,00 €;;26F
Aciclovir;4,5 GRAMMI 3% - USO OFTALMICO UNGUENTO;S01AD03;25299049;CYCLOVIRAN;"""3% UNGUENTO OFTALMICO"" TUBO DA 4,5 G";ALFASIGMA S.P.A.;5,53 €;6,70 €;1,17 €;;26F
Aciclovir;4,5 GRAMMI 3% - USO OFTALMICO UNGUENTO;S01AD03;25298047;ZOVIRAX;"""3% UNGUENTO OFTALMICO"" TUBO DA 4,5 G";GLAXOSMITHKLINE S.P.A.;5,53 €;7,36 €;1,83 €;;26F
Aciclovir;5 UNITA' 250 MG - USO PARENTERALE;J05AB01;33672027;ACICLOVIR RECORDATI;"""250 MG POLVERE PER SOLUZIONE INIETTABILE""5 FIALE IV";RECORDATI INDUSTRIA CHIMICA FARMACEUTICA S.P.A.;67,52 €;80,54 €;13,02 €;;26I
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;46280018;ACIDO ACETILSALICILICO ARISTO;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";ARISTO PHARMA GMBH;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;42179010;ACIDO ACETILSALICILICO DOC GENERICI;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE GASTRORESISTENTI IN BLISTER PVC/AL";DOC GENERICI S.R.L.;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;42180048;ACIDO ACETILSALICILICO EG;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";EG S.P.A.;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;44822029;ACIDO ACETILSALICILICO KRKA;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";KRKA D.D.NOVO MESTO;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;47065014;ACIDO ACETILSALICILICO MYLAN;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC-AL";MYLAN S.P.A.;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;42200016;ACIDO ACETILSALICILICO SANDOZ;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";SANDOZ S.P.A.;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;42207011;ACIDO ACETILSALICILICO TEVA ITALIA;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";TEVA ITALIA S.R.L.;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;24840074;CARDIOASPIRIN;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE";BAYER S.P.A.;1,41 €;2,35 €;0,94 €;;H4B
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;41256241;ACIDO ALENDRONICO AUROBINDO;"""70 MG COMPRESSE"" 12 COMPRESSE IN BLISTER PVC/ACLAR/AL";AUROBINDO PHARMA ITALIA S.R.L.;25,20 €;25,20 €;0,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;37515020;ACIDO ALENDRONICO EUROGENERICI;"""70 MG COMPRESSE"" 12 COMPRESSE IN BLISTER OPA/ALU/PVC";FG S.R.L.;25,20 €;28,80 €;3,60 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;37520020;ALENDRONATO DOC GENERICI;"""70 MG COMPRESSE"" 12 COMPRESSE IN BLISTER OPA/AL/PVC-AL";DOC GENERICI S.R.L.;25,20 €;25,20 €;0,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;37194103;ALENDRONATO EG;70 MG COMPRESSE 12 COMPRESSE IN BLISTER PVC/PE/PVDC/AL;EG S.P.A.;25,20 €;25,20 €;0,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;38408047;ALENDRONATO SANDOZ GMBH;"""70 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER OPA/AL/PVC/AL";SANDOZ GMBH;25,20 €;25,20 €;0,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;38317044;ALENDRONATO TEVA;"""70 MG COMPRESSE"" 12 COMPRESSE IN BLISTER AL/AL";TEVA B.V.;25,20 €;25,20 €;0,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;37444027;ASTON;"""70 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER PVC-PVDC/AL";S.F. GROUP S.R.L.;25,20 €;25,20 €;0,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;38031163;DRALENOS;"""70 MG COMPRESSE"" 12 COMPRESSE IN BLISTER PVC/AL";ISTITUTO BIOCHIMICO NAZIONALE SAVIO S.R.L.;25,20 €;28,20 €;3,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;37519028;PORODRON;"""70 MG COMPRESSE"" 12 COMPRESSE";DYMALIFE PHARMACEUTICAL S.R.L.;25,20 €;28,07 €;2,87 €;;CQD
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;41538024;ACIDO ALENDRONICO ALTER;"""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE";LABORATORI ALTER S.R.L.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;41256227;ACIDO ALENDRONICO AUROBINDO;70 MG COMPRESSE 4 COMPRESSE IN BLISTER PVC/ACLAR/AL;AUROBINDO PHARMA ITALIA S.R.L.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37515018;ACIDO ALENDRONICO EUROGENERICI;"""70 MG COMPRESSE"" 4 COMPRESSE";FG S.R.L.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37443013;ACIDO ALENDRONICO GERMED;"""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE";GERMED PHARMA S.R.L.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;43119015;ACIDO ALENDRONICO TECNIGEN;"""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE  IN BLISTER PVC/PVDC/AL";TECNIGEN S.R.L.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37514015;ACIDO ALENDRONICO ZENTIVA;"""70 MG COMPRESSE"" 4 COMPRESSE";ZENTIVA ITALIA S.R.L.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;29053079;ADRONAT;"""70"" 4 COMPRESSE BLISTER AL/AL DA 70 MG";NEOPHARMED GENTILI S.P.A.;13,48 €;16,48 €;3,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37499011;ALENDRONATO ALMUS;"""70 MG COMPRESSE"" 4 COMPRESSE";ALMUS S.R.L.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37520018;ALENDRONATO DOC GENERICI;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC/AL";DOC GENERICI S.R.L.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37194089;ALENDRONATO EG;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";EG S.P.A.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37198013;ALENDRONATO MYLAN GENERICS;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVDC/AL";MYLAN S.P.A.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;38007100;ALENDRONATO PENSA;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC/AL";PENSA PHARMA S.P.A.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37085089;ALENDRONATO RATIOPHARM;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";RATIOPHARM GMBH;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;38408023;ALENDRONATO SANDOZ GMBH;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER OPA/AL/PVC/AL";SANDOZ GMBH;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;38006108;ALENDRONATO SUN;70 MG COMPRESSE 4 COMPRESSE IN BLISTER PA/AL/PVC/AL;SUN PHARMACEUTICAL IND. B.V.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;38317020;ALENDRONATO TEVA;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER AL/AL";TEVA B.V.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;29051075;ALENDROS;"""70"" 4 COMPRESSE BLISTER AL/AL DA 70 MG";ABIOGEN PHARMA S.P.A.;13,48 €;15,37 €;1,89 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37521010;ALENIC;"""70 MG COMPRESSE"" 4 COMPRESSE""";EPIFARMA S.R.L.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37444015;ASTON;"""70 MG COMPRESSE"" 4 COMPRESSE";S.F. GROUP S.R.L.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37644010;DORYX;"""70 MG COMPRESSE"" 4 COMPRESSE";S.F. GROUP S.R.L.;13,48 €;13,48 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;29052077;FOSAMAX;"""70 MG COMPRESSE"" 4 COMPRESSE";MSD ITALIA S.R.L.;13,48 €;20,07 €;6,59 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;34172054;GENALEN;"""70"" 4 COMPRESSE BLISTER AL/AL DA 70 MG";NEOPHARMED GENTILI S.P.A.;13,48 €;17,98 €;4,50 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37500016;GLAMOR;"""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE IN BLISTER OPA/AL/PVC/AL";A.G.I.P.S. FARMACEUTICI S.R.L.;13,48 €;13,48 €;0,00 €;;CQA
